"status","kind","title","source_path","markdown_source","staged_path"
"published","html_existing","The Computational Architecture of Reality: The Tamesis Kernel and the Emergence of Spacetime","90_LEGACY\06_TOE_ARCHITECTURE_OF_REALITY\01_Treatises\paper.html","","publicados/90_LEGACY/06_TOE_ARCHITECTURE_OF_REALITY/01_Treatises/paper.html"
"published","html_existing","The Resolution of the P vs NP Problem: Algorithmic Entropy and Thermodynamic Censorship","RECURSOS_PARA_PESQUISA\07_MILLENNIUM_VALIDATION\PROBLEM_01_P_VS_NP\05_PROOFS\paper.html","","publicados/RECURSOS_PARA_PESQUISA/07_MILLENNIUM_VALIDATION/PROBLEM_01_P_VS_NP/05_PROOFS/paper.html"
"published","html_existing","The Physical Resolution of the Riemann Hypothesis via Spectral Entropy and Thermodynamic Stability","RECURSOS_PARA_PESQUISA\07_MILLENNIUM_VALIDATION\PROBLEM_02_RIEMANN\04_PAPERS\paper.html","","publicados/RECURSOS_PARA_PESQUISA/07_MILLENNIUM_VALIDATION/PROBLEM_02_RIEMANN/04_PAPERS/paper.html"
"published","html_existing","Global Regularity of 3D Navier-Stokes via the Alignment Gap Mechanism","RECURSOS_PARA_PESQUISA\07_MILLENNIUM_VALIDATION\PROBLEM_03_NAVIER_STOKES\04_PAPERS\paper.html","","publicados/RECURSOS_PARA_PESQUISA/07_MILLENNIUM_VALIDATION/PROBLEM_03_NAVIER_STOKES/04_PAPERS/paper.html"
"published","html_existing","The Structural Resolution of the Yang-Mills Existence and Mass Gap Problem","RECURSOS_PARA_PESQUISA\07_MILLENNIUM_VALIDATION\PROBLEM_04_YANG_MILLS\04_PAPERS\paper.html","","publicados/RECURSOS_PARA_PESQUISA/07_MILLENNIUM_VALIDATION/PROBLEM_04_YANG_MILLS/04_PAPERS/paper.html"
"published","html_existing","The Resolution of the Hodge Conjecture via Structural Rigidity","RECURSOS_PARA_PESQUISA\07_MILLENNIUM_VALIDATION\PROBLEM_05_HODGE_CONJECTURE\05_PROOFS\paper.html","","publicados/RECURSOS_PARA_PESQUISA/07_MILLENNIUM_VALIDATION/PROBLEM_05_HODGE_CONJECTURE/05_PROOFS/paper.html"
"published","html_existing","The Resolution of BSD via Iwasawa Theory","RECURSOS_PARA_PESQUISA\07_MILLENNIUM_VALIDATION\PROBLEM_06_BIRCH_SWINNERTON_DYER\04_PAPERS\paper.html","","publicados/RECURSOS_PARA_PESQUISA/07_MILLENNIUM_VALIDATION/PROBLEM_06_BIRCH_SWINNERTON_DYER/04_PAPERS/paper.html"
"to_publish","html_existing","The Holographic Origin of Matter and Dynamics - Complete Papers","01_TAMESIS_CORE\01_Foundation\Core_Papers\example.html","","publicar/01_TAMESIS_CORE/01_Foundation/Core_Papers/example.html"
"to_publish","html_existing","Baryon Topology: Protons as Braided Knots","01_TAMESIS_CORE\01_Foundation\Core_Papers\paper_baryon_topology\index.html","","publicar/01_TAMESIS_CORE/01_Foundation/Core_Papers/paper_baryon_topology/index.html"
"to_publish","html_existing","Laboratory Bekenstein Test: Can We Measure I ∝ Area?","01_TAMESIS_CORE\01_Foundation\Core_Papers\paper_bekenstein_lab\index.html","","publicar/01_TAMESIS_CORE/01_Foundation/Core_Papers/paper_bekenstein_lab/index.html"
