,N,Avg_Gap,Fidelity_T=0.01,Fidelity_T=0.1,Fidelity_T=0.5,Fidelity_T=1.0
0,3,5.595458467514649,1.0,1.0,0.9999862012249454,0.9962990520185598
1,4,5.082338365770732,1.0,1.0,0.9999614947220925,0.9938328876996586
2,5,4.658214639431701,1.0,1.0,0.9999100736188229,0.9906057110516542
3,6,5.1095180472011155,1.0,1.0,0.9999635318967564,0.9939972577848107
4,7,4.606049883904275,1.0,1.0,0.9999001857487795,0.9901076298279659
5,8,3.2105402410907153,1.0,0.9999999999999887,0.9983757450451606,0.9612290041573244
6,9,4.081607379826279,1.0,1.0,0.999715136278991,0.9833999040154635
7,10,3.6998657294539,1.0,1.0,0.9993889566725795,0.9758698169926342
8,11,3.8507910766270683,1.0,1.0,0.9995480930049147,0.9791797890616126
9,12,2.766062417197159,1.0,0.9999999999990292,0.9960580296615661,0.9408141106224177
